56,6,33,42.07341,1
83,14,26,41.722536500000004,1
23,-2,40,31.63807266666667,1
62,8,42,13.549827333333333,0
10,-4,34,40.0,1
207,44,19,81.148925,3
72,11,21,32.310155,1
137,26,26,81.148925,3
48,4,40,82.98259625,3
31,0,15,31.63807266666667,1
125,23,44,13.4629865,0
211,46,21,26.9663675,1
20,-2,19,41.414227499999996,1
129,24,19,47.285796500000004,1
131,24,38,24.671312999999998,0
15,-3,38,13.745068666666667,0
70,10,8,13.243754500000001,0
138,26,42,36.093107333333336,1
21,-2,34,54.01479233333333,2
11,-4,37,50.575829500000005,2
78,13,9,64.69756733333334,2
206,44,15,26.9663675,1
22,-2,36,80.0282905,3
61,8,37,52.744836,1
47,4,37,36.758463500000005,1
76,12,16,86.35837117647058,3
142,27,44,55.5951185,2
58,7,18,30.088304,1
4,-5,24,38.574588500000004,1
89,16,22,33.410269,1
14,-3,12,13.222866752808994,0
98,18,44,13.243754500000001,0
128,24,10,36.188244999999995,1
232,50,42,36.501683333333325,1
75,12,4,26.220436499999998,1
12,-4,43,59.03808333333333,2
212,46,41,86.35837117647058,3
9,-4,14,36.188244999999995,1
130,24,29,60.67912875,2
24,-2,44,86.35837117647058,3
54,6,11,23.616057333333334,0
93,17,44,78.08196633333334,3
136,26,9,86.35837117647058,3
91,17,4,86.35837117647058,3
168,34,43,14.10147675,0
44,3,34,39.99331367741935,1
167,34,42,29.104519666666665,0
55,6,31,13.4629865,0
27,-1,38,26.9663675,1
60,8,25,68.09211717391305,2
